央视频道,#genre#
东方卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226055/1/index.m3u8?fmt=ts2hls
东南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226061/1/index.m3u8?fmt=ts2hls
东南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225739/1/index.m3u8?fmt=ts2hls
广东卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226041/1/index.m3u8?fmt=ts2hls
广东卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225720/1/index.m3u8?fmt=ts2hls
河北卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226058/1/index.m3u8?fmt=ts2hls
河北卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225713/1/index.m3u8?fmt=ts2hls
黑龙江卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226052/1/index.m3u8?fmt=ts2hls
黑龙江卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225758/1/index.m3u8?fmt=ts2hls
湖北卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226044/1/index.m3u8?fmt=ts2hls
湖北卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225708/1/index.m3u8?fmt=ts2hls
湖南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226004/1/index.m3u8?fmt=ts2hls
湖南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225707/1/index.m3u8?fmt=ts2hls
湖南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225778/1/index.m3u8?fmt=ts2hls
江苏卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226029/1/index.m3u8?fmt=ts2hls
江苏卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225751/1/index.m3u8?fmt=ts2hls
江西卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226063/1/index.m3u8?fmt=ts2hls
江西卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225710/1/index.m3u8?fmt=ts2hls
吉林卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225753/1/index.m3u8?fmt=ts2hls
吉林卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226078/1/index.m3u8?fmt=ts2hls
辽宁卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226050/1/index.m3u8?fmt=ts2hls
辽宁卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225717/1/index.m3u8?fmt=ts2hls
山东卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226066/1/index.m3u8?fmt=ts2hls
山东卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225728/1/index.m3u8?fmt=ts2hls
深圳卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225712/1/index.m3u8?fmt=ts2hls
深圳卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226069/1/index.m3u8?fmt=ts2hls
四川卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226035/1/index.m3u8?fmt=ts2hls
四川卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
天津卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226067/1/index.m3u8?fmt=ts2hls
天津卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225756/1/index.m3u8?fmt=ts2hls
浙江卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225750/1/index.m3u8?fmt=ts2hls
浙江卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225780/1/index.m3u8?fmt=ts2hls
贵州卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225771/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225776/1/index.m3u8?fmt=ts2hls
贵州卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225703/1/index.m3u8?fmt=ts2hls
河南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226032/1/index.m3u8?fmt=ts2hls
河南卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
重庆卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221226038/1/index.m3u8?fmt=ts2hls
重庆卫视HD,http://39.135.15.70:6610/PLTV/88888888/224/3221225686/1/index.m3u8?fmt=ts2hls
兵团卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225722/1/index.m3u8?fmt=ts2hls
甘肃卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225755/1/index.m3u8?fmt=ts2hls
广西卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225711/1/index.m3u8?fmt=ts2hls
海南卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225762/1/index.m3u8?fmt=ts2hls
广东南方卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
内蒙古卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225718/1/index.m3u8?fmt=ts2hls
宁夏卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225719/1/index.m3u8?fmt=ts2hls
农林卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
青海卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225760/1/index.m3u8?fmt=ts2hls
安多卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225694/1/index.m3u8?fmt=ts2hls
三沙卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225693/1/index.m3u8?fmt=ts2hls
山东教育卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225764/1/index.m3u8?fmt=ts2hls
山西卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225730/1/index.m3u8?fmt=ts2hls
康巴卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225695/1/index.m3u8?fmt=ts2hls
厦门卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225761/1/index.m3u8?fmt=ts2hls
新疆卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225759/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225668/1/index.m3u8?fmt=ts2hls
西藏藏语,http://39.135.15.70:6610/PLTV/88888888/224/3221225697/1/index.m3u8?fmt=ts2hls
延边卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls
云南卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225687/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225688/1/index.m3u8?fmt=ts2hls
港台新闻,#genre#
中视新闻台,P2p://190.2.146.92:18912/5b14095e000f377417d236655f6c061b.ts
亚洲旅游台.HD,P2p://190.2.146.92:18912/5b1409170009418317d11f864cad7029.ts
国家地理野生频道.HD,P2p://190.2.146.92:18912/5b1409170007d34217d11f2864f03dfb.ts
国家地理.HD,P2p://190.2.146.92:18912/5b13f6f0000e0621178a386743251ca3.ts
纬来综合,P2p://190.2.146.92:18912/5b1409230004f71e17d14d4d79eb53ba.ts
八大第一,P2p://190.2.146.92:18912/5b14096a0004400317d262765c78728d.ts
八大综合,P2p://190.2.146.92:18912/5b14092c0004b9c217d1706514297c99.ts
三立都会,P2p://190.2.146.92:18912/5b14098f000d8c6517d2f55f6e4d00f2.ts
卫视中文,P2p://190.2.146.92:18912/5b14096a00006f0717d2617c534721ba.ts
东森综合.HD,P2p://190.2.146.92:18912/5b1409f1000dc91b17d4743f4a5e5da0.ts
中天综合,P2p://190.2.146.92:18912/5b14096a0007d34517d26360550e38c0.ts
中天娱乐,P2p://190.2.146.92:18912/5b1409f300034b9417d4795f73cc569d.ts
东森戏剧.HD,P2p://190.2.146.92:18912/5b1409f20000320b17d474ac58ec0761.ts
TVBS欢乐,P2p://190.2.146.92:18912/5b1409600006657b17d23bf3625c2446.ts
纬来戏剧,P2p://190.2.146.92:18912/5b1409f3000a72b517d47b3444bd4f23.ts
年代新闻,P2p://190.2.146.92:18912/5b1409fd000a726917d4a244555c7cd0.ts
东森新闻,P2p://190.2.146.92:18912/5b1409520005add417d2051420d437ca.ts
中天新闻,P2p://190.2.146.92:18912/5b14096a000dc91717d264e768212e72.ts
民视新闻台,P2p://190.2.146.92:18912/5b1409690004f73317d25ebd792338f3.ts
三立新闻,P2p://190.2.146.92:18912/5b14090b000e803017d0f1fe79e276bb.ts
TVBS新闻,P2p://190.2.146.92:18912/5b1409600008c73b17d23c8f55c56c96.ts
TVBS,P2p://190.2.146.92:18912/5b140960000c982b17d23d893b4438f6.ts
东森财经,P2p://190.2.146.92:18912/5b1409f30008c77617d47ac7690e3ed1.ts
非凡新闻,P2p://190.2.146.92:18912/5b14092c0001a04c17d16f9a22753e71.ts
东森电影.HD,P2p://190.2.146.92:18912/5b1409f20009bbe217d4771d2d5878ee.ts
伟来电影,P2p://190.2.146.92:18912/5b140922000ebd5b17d14be56a3c3b0f.ts
龙祥时代,P2p://190.2.146.92:18912/5b14092200071c6117d149f1767a207d.ts
HBO.HD,P2p://190.2.146.92:18912/5b140969000be13c17d2608218fe1e31.ts
国兴卫视,P2p://190.2.146.92:18912/5b1409f2000ebd7817d4786532de0737.ts
CINEMAX,P2p://190.2.146.92:18912/5b14096000043ff917d23b66592c50e9.ts
JET.综合,P2p://190.2.146.92:18912/5b1409f30001262717d478d304275a9f.ts
八大娱乐,P2p://190.2.146.92:18912/5b14096a0006280617d262f32dd3701d.ts
HBO.FAMILY,P2p://190.2.146.92:18912/5b140969000d8bfc17d260ef58627c3e.ts
HBO.HITS,P2p://190.2.146.92:18912/5b14096900084dd917d25f9813a456ad.ts
HBO.SIGNATURE,P2p://190.2.146.92:18912/5b14096a000a35a117d263fd2eda6110.ts
MTV.音乐台,P2p://190.2.146.92:18912/5b1409160006a29117d11af270d37d68.ts
EYETV戏剧.HD,P2p://190.2.146.92:18912/5b14093e000e433917d1b92674673784.ts
龙华洋片,P2p://190.2.146.92:18912/5b140917000c1e9b17d120425d920da6.ts
龙华戏剧,P2p://190.2.146.92:18912/5b14091600088a8c17d11b6f3ae37b7c.ts
龙华动画.HD,P2p://190.2.146.92:18912/5b1409170002d1e217d11de01c422b3b.ts
龙华偶像,P2p://190.2.146.92:18912/5b1409180001262617d1215b0acb028f.ts
龙华影剧,P2p://190.2.146.92:18912/5b1408f2000aaf8c17d08f5c001549e8.ts
好消息.2,P2p://190.2.146.92:18912/5b140922000a72b217d14acc2b0948c6.ts
ELTA体育.HD,P2p://190.2.146.92:18912/5b140917000aaf8f17d11fe44473554d.ts
星卫娱乐台,P2p://190.2.146.92:18912/5b1408f1000d124917d08c10017e03eb.ts
美亚电影台.HD,P2p://190.2.146.92:18912/5b14098f0007961517d2f3d97b743b7b.ts
星卫电影,P2p://190.2.146.92:18912/5b140940000a727a17d1bffc371a3967.ts
美食星球.HD,P2p://190.2.146.92:18912/5b140917000d8bec17d1209f098344ba.ts
高尔夫网球,P2p://190.2.146.92:18912/5b1409530005ae3a17d208fc221304f9.ts
寰宇综合.HD,P2p://190.2.146.92:18912/5b14098e00034c1017d2eed76ae86abc.ts
新视觉,P2p://190.2.146.92:18912/5b1409230000ac4717d14c3401071f9a.ts
Ci罪案侦缉.HD,P2p://190.2.146.92:18912/5b14098e0006282a17d2ef9371d76997.ts
靖天电影台.HD,P2p://190.2.146.92:18912/5b14093f0000e91e17d1b9a37fd82e00.ts
高清探索,P2p://190.2.146.92:18912/5b1409fb000aafca17d49a8442ba2e86.ts
CHC.动作电影.HD,P2p://190.2.146.92:18912/5b14092b0002d18017d16c002fec131b.ts
CHC.高清电影.HD,P2p://190.2.146.92:18912/5b140953000b29ef17d20a636ace4d4b.ts
FASHIONTV.HD,P2p://190.2.146.92:18912/5b1409dc00021a6117d41f3932fb26a6.ts
FOX.HD,P2p://190.2.146.92:18912/5b14098e000c5aec17d2f129119b4144.ts
台视.HD,P2p://190.2.146.92:18912/5b14095f000570be17d237cc0e076f51.ts
大爱一台,P2p://190.2.146.92:18912/5b1409db0005716817d41c2c57747e3b.ts
台视新闻台,P2p://190.2.146.92:18912/5b14090b0004b9da17d0ef7d23372835.ts
民视台湾台,P2p://190.2.146.92:18912/5b14095f00097ec617d238d6575b7b8c.ts
华视,P2p://190.2.146.92:18912/5b140968000d4f3517d25cf83e1e0c9f.ts
东森洋片,P2p://190.2.146.92:18912/5b14092300021ad117d14c912bb07095.ts
八大戏剧,P2p://190.2.146.92:18912/5b1409690000706a17d25d9454be6f52.ts
寰宇新闻频道,P2p://190.2.146.92:18912/5b1408f30005adec17d091fc5ef26aa6.ts
寰宇财经,P2p://190.2.146.92:18912/5b1408f30002585a17d091215a5f5d9f.ts
伟来日本,P2p://190.2.146.92:18912/5b14092b000efa4c17d16f1d678e1007.ts
纬来育乐,P2p://190.2.146.92:18912/5b14092c000a35b517d171cd221058b2.ts
纬来体育,P2p://190.2.146.92:18912/5b140921000be14417d147423a842240.ts
纬来精彩,P2p://190.2.146.92:18912/5b14094a0000e95117d1e49b2d550d9f.ts
三立戏剧台.HD,P2p://190.2.146.92:18912/5b140916000e809417d11cf6108e4ea0.ts
三立综合台.HD,P2p://190.2.146.92:18912/5b1409170001264217d11d7363fd5d91.ts
壹电视综合.HD,P2p://190.2.146.92:18912/5b1409400006a23517d1bf027c3834c3.ts
靖天卡通台,P2p://190.2.146.92:18912/5b14093e0009fa2117d1b80d388e2efa.ts
靖天国际台,P2p://190.2.146.92:18912/5b1408f1000efa2817d08c8d2aa26513.ts
靖天戏剧台.HD,P2p://190.2.146.92:18912/5b14093e000c1de917d1b89a306502e9.ts
靖天日本.HD,P2p://190.2.146.92:18912/5b140916000ab01617d11bfc24c93dad.ts
靖天映画.HD,P2p://190.2.146.92:18912/5b14093f0002d1c217d1ba2063b23415.ts
靖天育乐台,P2p://190.2.146.92:18912/5b1408f2000e063f17d0903772890ee1.ts
龙华经典,P2p://190.2.146.92:18912/5b14090b0001269c17d0ee93023202c3.ts
DIVA.HD,P2p://190.2.146.92:18912/5b1408f10005adef17d08a2c7d101e24.ts
国家地理PEOPLE.HD,P2p://190.2.146.92:18912/5b14093f000b29ff17d1bc4345ec50f1.ts
FOX.SPORTS.3.HD,P2p://190.2.146.92:18912/5b1409400002d18b17d1be08019f69c2.ts
博斯无限,P2p://190.2.146.92:18912/5b14098f0001271317d2f23314a97032.ts
博斯网球.HD,P2p://190.2.146.92:18912/5b14098f0009bb6e17d2f4652d6a2d5a.ts
博斯运动,P2p://190.2.146.92:18912/5b1409f3000dc92317d47c0f35a7773d.ts
博斯高球Ⅱ.HD,P2p://190.2.146.92:18912/5b1409dc00088a6617d420df6c33350a.ts
DISCOVERY.EVE.HD,P2p://190.2.146.92:18912/5b14093f00043fac17d1ba7e4bed47f5.ts
DISCOVERY科学频道.HD,P2p://190.2.146.92:18912/5b14093f000e802b17d1bd1e28e3316c.ts
CHINA.MOVIE,P2p://190.2.146.92:18912/5b14095e00097ea817d234ee5e396a43.ts
CINEMAWORLD,P2p://190.2.146.92:18912/5b1409770005ae3c17d2959c3a085988.ts
SMART知识台,P2p://190.2.146.92:18912/5b1408f20002579817d08d39272c54bf.ts
好莱坞电影,P2p://190.2.146.92:18912/5b1409f3000c1df517d47ba223ab6386.ts
卫视合家欢,P2p://190.2.146.92:18912/5b14096a0001dd4117d261da5bf37b84.ts
卫视西片.HD,P2p://190.2.146.92:18912/5b14098f00030ea417d2f2b01e7e68b3.ts
卫视电影,P2p://190.2.146.92:18912/5b140960000aafcc17d23d0c19417774.ts
采昌影剧台,P2p://190.2.146.92:18912/5b1409db0009049a17d41d161677386d.ts
阿里郎电视台,P2p://190.2.146.92:18912/5b1408f30000ac6417d090b40d602746.ts
曼迪日本台,P2p://190.2.146.92:18912/5b1408f1000aecee17d08b8339195526.ts
鸿基影剧台,P2p://190.2.146.92:18912/5b14095e000b67b917d2356b48977d09.ts
靖洋戏剧台.HD,P2p://190.2.146.92:18912/5b1409170006660317d11ecb4d0c407e.ts
霹雳台湾,P2p://190.2.146.92:18912/5b1409610002577c17d23ed154a72c28.ts
公视3HD,P2p://190.2.146.92:18912/5b14094a0002d1d117d1e518204a1cf0.ts
三立台湾,P2p://190.2.146.92:18912/5b1409f100088a8417d472e762b91bcf.ts
龙华电影,P2p://190.2.146.92:18912/5b140922000d123117d14b7870307b13.ts
Z频道,P2p://190.2.146.92:18912/5b14094a00088a5617d1e68f2940303d.ts
ELTA.阿尔法育乐.HD,P2p://190.2.146.92:18912/5b1409da0004ba1317d418157a2631bc.ts
FOX动作,P2p://190.2.146.92:18912/5b140977000904d617d296767dc951d7.ts
FOX优质,P2p://190.2.146.92:18912/5b140977000ab01d17d296e419663d38.ts
FOX.CRIME.HD,P2p://190.2.146.92:18912/5b14098e000e434e17d2f1a6468846dc.ts
FOX.家庭影院HD,P2p://190.2.146.92:18912/5b14098e000945ca17d2f05e23096668.ts
壹新闻,P2p://190.2.146.92:18912/5b14094000088a4617d1bf7f28cd7dd9.ts
DISCOVERY.HD,P2p://190.2.146.92:18912/5b14092b000cd4e017d16e9032dc71ac.ts
DISCOVERY动力频道.HD,P2p://190.2.146.92:18912/5b14093f0006280117d1bafb05f27062.ts
HISTORY.HD,P2p://190.2.146.92:18912/5b1408f300071d3b17d0925942925ffc.ts
HISTORY2.HD,P2p://190.2.146.92:18912/5b1408f3000402b217d0918e4c75078c.ts
亚洲美食.HD,P2p://190.2.146.92:18912/5b1409da000c980117d41a196f3b08d9.ts
TVB娱乐,P2p://190.2.146.92:18912/5b140977000c5b2317d2975142727199.ts
都市剧场,P2p://190.2.146.92:18912/5b140921000e805e17d147ee444e6bd5.ts
鸿基台湾台,P2p://190.2.146.92:18912/5b14095e000d4f6717d235e84b4432ff.ts
AXN.新力影业动作片电视网,P2p://190.2.146.92:18912/5b1409220003887717d149073960478b.ts
BABY.TV.国语,P2p://190.2.146.92:18912/5b14090b00030e8217d0ef1052071b87.ts
BABY.TV.英语,P2p://190.2.146.92:18912/5b14094000047cc617d1be7654a4456d.ts
FYI,P2p://190.2.146.92:18912/5b1408f20005adce17d08e14730d564f.ts
HKS,P2p://190.2.146.92:18912/5b14096a000c1de217d2647a3e82534a.ts
TV5,P2p://190.2.146.92:18912/5b1409220005714c17d149845e0e2184.ts
NICK.JR,P2p://190.2.146.92:18912/5b14098f000ba3b017d2f4e20ec058b2.ts
LUXE.TV,P2p://190.2.146.92:18912/5b1408f2000402a917d08da611f23a04.ts
MY.KIDS,P2p://190.2.146.92:18912/5b1409da000a356e17d4197d10b66a5e.ts
ALJAZEERA,P2p://190.2.146.92:18912/5b1409fc0002578317d49c494e27080e.ts
BOOMERANG,P2p://190.2.146.92:18912/5b1409da0008112417d418f01ef0040b.ts
CATCHPLAY.HD,P2p://190.2.146.92:18912/5b1409db000126a917d41b132a890b34.ts
SUNDANCE.CHANNEL,P2p://190.2.146.92:18912/5b1408f2000c5b2d17d08fc940145842.ts
FRANCE.24（English）,P2p://190.2.146.92:18912/5b14090b0008c74a17d0f08749e16347.ts
MEZZO.LIVE.HD,P2p://190.2.146.92:18912/5b14090b0006deff17d0f00a54266306.ts
E!.ENTERTAINMENT,P2p://190.2.146.92:18912/5b1409770004036817d2952e4fa80247.ts
CNBC,P2p://190.2.146.92:18912/5b1409400000e91c17d1bd8b39732af3.ts
博斯足球.HD,P2p://190.2.146.92:18912/5b14098e0000e93717d2ee3b694601b7.ts
博斯,P2p://190.2.146.92:18912/5b1409f3000f373217d47c6d014c2310.ts
翡翠,P2p://190.2.146.92:18912/5b1409fc00088a7f17d49ddf36aa5041.ts
互动新闻,P2p://190.2.146.92:18912/5b1409fc000a355e17d49e4d52ad164f.ts
J2,P2p://190.2.146.92:18912/5b1409fc000dca0617d49f3723d93900.ts
J5,P2p://190.2.146.92:18912/5b14095400047cf517d20c962f11530b.ts
明珠,P2p://190.2.146.92:18912/5b1409540009bb8b17d20ded56dc49f5.ts
奇妙,P2p://190.2.146.92:18912/5b1409fd0007968317d4a1896b2b28c9.ts
星空卫视,P2p://190.2.146.92:18912/5b1409fb0000e98517d4980376aa5a30.ts
凤凰中文台.HD,P2p://190.2.146.92:18912/5b14092b0007595617d16d293ae3135e.ts
凤凰资讯台.HD,P2p://190.2.146.92:18912/5b14092b0009048317d16d96584d1e94.ts
凤凰香港台.HD,P2p://190.2.146.92:18912/5b14092b000ab05817d16e044e363842.ts
TVB娱乐,P2p://190.2.146.92:18912/5b140a99000c97f517d7043116ef1a17.ts
HKC财经,P2p://190.2.146.92:18912/5b140a160005eb0817d502c369190675.ts
HKC新闻,P2p://190.2.146.92:18912/5b13f6f100047cde178a39de0a7724ba.ts
HKC201,P2p://190.2.146.92:18912/5b1409160002577d17d119d965ef38c1.ts
HKC电影一台,P2p://190.2.146.92:18912/5b140a160002576417d501d91af1598e.ts
HKC603,P2p://190.2.146.92:18912/5b140a99000810af17d70308444112e9.ts
HKC高清体育2,P2p://190.2.146.92:18912/5b140a990002d1a817d701b0569747a4.ts
VIUTV,P2p://190.2.146.92:18912/5b2f2d5d0005934d2f312dcc3a582e34.ts
莲花卫视,P2p://190.2.146.92:18912/5b1409fb00088a4617d499f77c564cb6.ts
CHINA.MOVIE,P2p://190.2.146.92:18912/5b14095e00097ea817d234ee5e396a43.ts
中华美食频道,P2p://190.2.146.92:18912/5b14092b0001266117d16b9359584586.ts
港台影视,#genre#
HBO原创电影,vjms://58.215.133.185:8500:3502/live/cid=436
HBO原创电影,vjms://23.237.33.155:8500:3502/live/cid=436
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181
